name,brand,supermarket,weight,weight_unit,price_before,price_after,discount_percentage,promotion_start_date,promotion_end_date,protein_per_100g,carbs_per_100g,fiber_per_100g,fat_per_100g,calories_per_100g,rating,points,active,vegan
Halal kipdijfilet,Wahid,Albert Heijn,400,g,5.69,5.69,104,2026-05-18,2026-05-25,20,0,0,8,160,3.1,62.4,TRUE,FALSE
Kipdij doner,Wahid,Albert Heijn,300,g,5.99,5.99,104,2026-05-18,2026-05-25,19,2,0,8,165,2.7,53.7,TRUE,FALSE
Halal kipfilet blokjes,Wahid,Albert Heijn,400,g,6.69,6.69,104,2026-05-18,2026-05-25,23,0,0,1.5,110,3.3,66.9,TRUE,FALSE
Halal merguez,Wahid,Albert Heijn,100,g,4.99,4.99,104,2026-05-18,2026-05-25,14,1,0,22,260,1.7,33.4,TRUE,FALSE
Kipkrokantschnitzel,Wahid,Albert Heijn,200,g,3.99,3.99,104,2026-05-18,2026-05-25,14,16,1,10,220,2,40.8,TRUE,FALSE
Hamburgers,Wahid,Albert Heijn,360,g,6.19,6.19,104,2026-05-18,2026-05-25,18,1,0,18,240,2.5,50.4,TRUE,FALSE
Kipgehakt,Wahid,Albert Heijn,500,g,6.99,6.99,104,2026-05-18,2026-05-25,19,0,0,7,150,3.1,61.1,TRUE,FALSE
Kipfilet,Wahid,Albert Heijn,1000,g,14.49,14.49,104,2026-05-18,2026-05-25,23,0,0,1.5,110,3.5,70.1,TRUE,FALSE
Jalapeño cheddar worst,Wahid,Albert Heijn,320,g,4.99,4.99,104,2026-05-18,2026-05-25,14,2,0,24,280,2.1,42.4,TRUE,FALSE
Köfte,Wahid,Albert Heijn,240,g,5.69,5.69,104,2026-05-18,2026-05-25,17,3,0,18,245,2.2,44,TRUE,FALSE
Adana kebab,Wahid,Albert Heijn,240,g,5.69,5.69,104,2026-05-18,2026-05-25,16,2,0,20,260,2.1,41.7,TRUE,FALSE
Gemarineerde kip,Wahid,Albert Heijn,400,g,4.69,4.69,104,2026-05-18,2026-05-25,19,2,0,7,155,3.2,64.7,TRUE,FALSE
Kippendijspies,Wahid,Albert Heijn,300,g,6.99,6.99,104,2026-05-18,2026-05-25,19,2,0,8,165,2.6,51.6,TRUE,FALSE
BBQ spareribs zoet,AH,Albert Heijn,720,g,10.36,10.36,103,2026-05-18,2026-05-25,18,8,0,22,295,2.9,58.3,TRUE,FALSE
BBQ spareribs pittig,AH,Albert Heijn,720,g,10.36,10.36,103,2026-05-18,2026-05-25,18,6,0,22,290,2.9,58.4,TRUE,FALSE
BBQ grillburger 4 stuks,AH,Albert Heijn,400,g,5.99,5.99,103,2026-05-18,2026-05-25,18,2,0,18,240,2.9,58.9,TRUE,FALSE
BBQ scharrel kipsaté grootverpakking,AH,Albert Heijn,400,g,6.99,6.99,103,2026-05-18,2026-05-25,19,5,0,8,175,3.1,61.1,TRUE,FALSE
BBQ worst smokey,AH,Albert Heijn,350,g,4.50,4.50,103,2026-05-18,2026-05-25,13,2,0,25,285,2.4,48.7,TRUE,FALSE
BBQ speklapjes smokey,AH,Albert Heijn,320,g,4.99,4.99,103,2026-05-18,2026-05-25,15,2,0,28,320,2.5,49.6,TRUE,FALSE
BBQ procureur steak black garlic,AH,Albert Heijn,360,g,4.99,4.99,103,2026-05-18,2026-05-25,18,2,0,15,220,3.1,61.2,TRUE,FALSE
BBQ scharrel kipsatéspies,AH,Albert Heijn,200,g,4.99,4.99,103,2026-05-18,2026-05-25,19,5,0,8,175,2.8,55.5,TRUE,FALSE
BBQ gamalenspies knoflookmarinade,AH,Albert Heijn,130,g,3.99,3.99,103,2026-05-18,2026-05-25,18,2,0,3,105,2.8,55.9,TRUE,FALSE
BBQ entrecote steak smoked paprika,AH,Albert Heijn,360,g,4.99,4.99,103,2026-05-18,2026-05-25,22,1,0,12,200,3.6,72.2,TRUE,FALSE
BBQ worst naturel,AH,Albert Heijn,350,g,4.50,4.50,103,2026-05-18,2026-05-25,13,2,0,25,285,2.4,48.7,TRUE,FALSE
BBQ partyburger,AH,Albert Heijn,720,g,6.99,6.99,103,2026-05-18,2026-05-25,18,2,0,18,240,3.5,70,TRUE,FALSE
BBQ scharrel kipshaslick,AH,Albert Heijn,230,g,5.49,5.49,103,2026-05-18,2026-05-25,19,3,0,7,160,2.9,57.2,TRUE,FALSE
Scharrel kipburger 4 stuks,AH,Albert Heijn,400,g,4.99,4.99,103,2026-05-18,2026-05-25,18,8,1,8,180,3.3,65.5,TRUE,FALSE
Plantaardige burger grilled onion,AH Terra,Albert Heijn,200,g,2.49,2.49,103,2026-05-18,2026-05-25,16,9,3,8,190,3,59.6,TRUE,TRUE
BBQ runder hamburger,AH,Albert Heijn,400,g,5.99,5.99,103,2026-05-18,2026-05-25,18,2,0,18,240,2.9,58.9,TRUE,FALSE
BBQ worst tuinkruiden,AH,Albert Heijn,350,g,4.50,4.50,103,2026-05-18,2026-05-25,13,2,0,25,285,2.4,48.7,TRUE,FALSE
BBQ speklapjes Asian style,AH,Albert Heijn,320,g,4.79,4.79,103,2026-05-18,2026-05-25,15,4,0,26,315,2.5,50.4,TRUE,FALSE
BBQ zalmspies gemarineerd,AH,Albert Heijn,150,g,5.99,5.99,103,2026-05-18,2026-05-25,20,2,0,12,200,2.6,51,TRUE,FALSE
BBQ biefstukspies black garlic,AH,Albert Heijn,225,g,7.19,7.19,103,2026-05-18,2026-05-25,22,2,0,10,185,2.9,57.7,TRUE,FALSE
BBQ hotdog smokey,AH,Albert Heijn,280,g,4.50,4.50,103,2026-05-18,2026-05-25,12,3,0,22,260,2.2,43.5,TRUE,FALSE
BBQ miniburger,AH,Albert Heijn,360,g,5.99,5.99,103,2026-05-18,2026-05-25,18,2,0,18,240,2.8,56.9,TRUE,FALSE
BBQ runderkebabspies 4 stuks,AH,Albert Heijn,400,g,5.99,5.99,103,2026-05-18,2026-05-25,18,2,0,15,220,3,59.6,TRUE,FALSE
BBQ scharrel kipfilethaasjes aan spies,AH,Albert Heijn,210,g,5.49,5.49,103,2026-05-18,2026-05-25,22,1,0,2,115,3.2,63.5,TRUE,FALSE
BBQ regenboogforel,AH,Albert Heijn,425,g,8.49,8.49,103,2026-05-18,2026-05-25,20,0,0,6,145,3.2,63.4,TRUE,FALSE
BBQ hotdog jalapeño,AH,Albert Heijn,260,g,2.99,2.99,103,2026-05-18,2026-05-25,12,3,0,22,260,2.4,48.5,TRUE,FALSE
BBQ kipburger,AH,Albert Heijn,320,g,4.49,4.49,103,2026-05-18,2026-05-25,18,5,1,8,175,3.2,63.1,TRUE,FALSE
BBQ cote du porc Mexicaanse stijl,AH,Albert Heijn,360,g,5.99,5.99,103,2026-05-18,2026-05-25,18,2,0,16,235,2.9,57,TRUE,FALSE
Hele zeebaars citroen rozemarijn,AH,Albert Heijn,370,g,8.99,8.99,103,2026-05-18,2026-05-25,18,1,0,3,100,2.9,58.5,TRUE,FALSE
Hele dorade royal salsa verde,AH,Albert Heijn,350,g,7.89,7.89,103,2026-05-18,2026-05-25,19,1,0,4,110,3.1,61.1,TRUE,FALSE
BBQ black tiger cajun,AH,Albert Heijn,210,g,7.99,7.99,103,2026-05-18,2026-05-25,18,1,0,1,90,2.7,54,TRUE,FALSE
Zalmfilet salsa verde met rooksnippers,AH,Albert Heijn,570,g,16.99,16.99,103,2026-05-18,2026-05-25,20,1,0,12,200,2.7,53.9,TRUE,FALSE
Zalmfilet smokey,AH,Albert Heijn,250,g,7.99,7.99,103,2026-05-18,2026-05-25,20,1,0,12,200,2.7,53.2,TRUE,FALSE
Scharrel kipworst Mediterraans gekruid,AH,Albert Heijn,280,g,4.49,4.49,103,2026-05-18,2026-05-25,14,3,0,20,250,2.4,48.2,TRUE,FALSE
BBQ hamburger spicy 2 stuks,AH,Albert Heijn,200,g,3.99,3.99,103,2026-05-18,2026-05-25,18,2,0,18,240,2.7,53.8,TRUE,FALSE
BBQ zeebaarsfilet,AH,Albert Heijn,180,g,6.17,6.17,103,2026-05-18,2026-05-25,18,1,0,3,100,2.7,54.9,TRUE,FALSE
BBQ hele dorade royal,AH,Albert Heijn,330,g,7.44,7.44,103,2026-05-18,2026-05-25,19,1,0,4,110,3.1,61.1,TRUE,FALSE
BBQ lava burger hot honey,AH,Albert Heijn,250,g,4.99,4.99,103,2026-05-18,2026-05-25,17,4,0,18,245,2.6,51.6,TRUE,FALSE
BBQ buikspek met glaze en kruiden,AH,Albert Heijn,670,g,9.49,9.49,103,2026-05-18,2026-05-25,14,3,0,30,340,2.4,48.7,TRUE,FALSE
BBQ ribeye,AH,Albert Heijn,700,g,24.99,24.99,103,2026-05-18,2026-05-25,22,0,0,13,210,2.8,55.1,TRUE,FALSE
BBQ scharrel kipdijfiletspies Cajun,AH,Albert Heijn,280,g,5.49,5.49,103,2026-05-18,2026-05-25,19,2,0,8,165,3,59.7,TRUE,FALSE
BBQ lava burger smokey,AH,Albert Heijn,250,g,4.99,4.99,103,2026-05-18,2026-05-25,17,3,0,18,245,2.6,51.6,TRUE,FALSE
Kip hotdog kaas Zaanlander,AH,Albert Heijn,280,g,4.49,4.49,103,2026-05-18,2026-05-25,13,3,0,22,260,2.3,45.7,TRUE,FALSE
BBQ black tiger garnalen knoflook,AH,Albert Heijn,210,g,7.99,7.99,103,2026-05-18,2026-05-25,18,1,0,1,90,2.7,54,TRUE,FALSE
BBQ scharrel kip kofte,AH,Albert Heijn,270,g,4.99,4.99,103,2026-05-18,2026-05-25,18,3,0,10,180,2.9,57.5,TRUE,FALSE
BBQ coquilles gemarineerd,AH,Albert Heijn,180,g,7.99,7.99,103,2026-05-18,2026-05-25,18,3,0,1,95,2.6,52.8,TRUE,FALSE
BBQ spareribs Indonesische stijl,AH,Albert Heijn,665,g,9.99,9.99,103,2026-05-18,2026-05-25,18,8,0,22,295,2.9,57.4,TRUE,FALSE
Lava burger cheese jalapeno,AH,Albert Heijn,250,g,4.99,4.99,103,2026-05-18,2026-05-25,17,3,0,19,250,2.6,51.4,TRUE,FALSE
Kabeljauwburger gepaneerd 2 stuks,AH,Albert Heijn,200,g,3.49,2.97,15,2026-05-18,2026-05-25,13,14,1,4,140,1.9,37.2,TRUE,FALSE
Kabeljauwschnitzel 2 stuks,AH,Albert Heijn,180,g,2.99,2.54,15,2026-05-18,2026-05-25,13,14,1,4,140,1.9,37.7,TRUE,FALSE
Krokante visfilet Thaise stijl,AH,Albert Heijn,240,g,3.29,2.8,15,2026-05-18,2026-05-25,13,16,1,5,155,2,39,TRUE,FALSE
Kabeljauwballetjes,AH,Albert Heijn,200,g,3.49,2.97,15,2026-05-18,2026-05-25,13,14,1,4,140,1.9,37.2,TRUE,FALSE
Krokante zalmburger feta spinazie,AH,Albert Heijn,270,g,4.89,4.16,15,2026-05-18,2026-05-25,14,12,1,9,195,1.8,36.3,TRUE,FALSE
Krokante zalmsticks citroen peterselie,AH,Albert Heijn,200,g,6.99,5.94,15,2026-05-18,2026-05-25,14,14,1,8,200,1.6,31.1,TRUE,FALSE
Krokante visfilet gegratineerd met kaas,AH,Albert Heijn,220,g,3.99,3.39,15,2026-05-18,2026-05-25,13,14,1,6,165,1.8,35.4,TRUE,FALSE
Haringfilet met uitjes 2 stuks,AH,Albert Heijn,200,g,2.99,1.99,33,2026-05-18,2026-05-25,18,0,0,12,195,3,60.8,TRUE,FALSE
Haring met uitjes 2 stuks,AH,Albert Heijn,200,g,2.59,1.99,23,2026-05-18,2026-05-25,18,0,0,12,195,2.8,55.8,TRUE,FALSE
Warmgerookte zalmfilet,AH,Albert Heijn,250,g,8.69,7.39,15,2026-05-18,2026-05-25,22,0,0,14,210,2.2,44.1,TRUE,FALSE
Warmgerookte zalmfilet,AH,Albert Heijn,125,g,4.68,3.98,15,2026-05-18,2026-05-25,22,0,0,14,210,2.2,43.5,TRUE,FALSE
Warmgerookte zalmfilet peper,AH,Albert Heijn,125,g,4.99,4.24,15,2026-05-18,2026-05-25,22,0,0,14,210,2.1,43,TRUE,FALSE
Vegetarische Gouda schnitzel,Valess,Albert Heijn,180,g,3.69,3.69,102,2026-05-18,2026-05-25,14,11,2,13,220,2.9,58.2,TRUE,TRUE
Vegetarische schnitzel,Valess,Albert Heijn,180,g,3.75,3.75,102,2026-05-18,2026-05-25,14,11,2,13,220,2.9,57.9,TRUE,TRUE
Vegetarische crunchy tenders Gouda,Valess,Albert Heijn,160,g,3.79,3.79,102,2026-05-18,2026-05-25,13,13,2,14,230,2.7,53.6,TRUE,TRUE
Crispy sticks met chili,Valess,Albert Heijn,160,g,3.69,3.69,102,2026-05-18,2026-05-25,13,14,2,13,225,2.7,54.1,TRUE,TRUE
Vegetarische saté schnitzel,Valess,Albert Heijn,180,g,3.79,3.79,102,2026-05-18,2026-05-25,13,12,2,13,220,2.8,55.4,TRUE,TRUE
Vegetarische chick'n filet,Valess,Albert Heijn,180,g,3.99,3.99,102,2026-05-18,2026-05-25,14,10,2,11,200,2.9,57.6,TRUE,TRUE
Vegetarische crispy chick'n bites,Valess,Albert Heijn,170,g,3.69,3.69,102,2026-05-18,2026-05-25,13,14,2,13,225,2.7,54.9,TRUE,TRUE
Half-om-half gehakt,Aldi,Aldi,750,g,5.99,5.99,101,2026-05-26,2026-05-31,18,0,0,18,240,4.3,86.9,FALSE,FALSE
BBQ gemarineerde zalmfilets 2 stuks,Aldi,Aldi,250,g,4.99,4.99,101,2026-05-26,2026-05-31,20,2,0,12,200,3.7,73.9,FALSE,FALSE
BBQ schouderkarbonades gekruid,Aldi,Aldi,450,g,4.49,2.99,33,2026-05-26,2026-05-31,18,2,0,15,225,3.5,69.9,FALSE,FALSE
Boerenburgers OP=OP 2 stuks,Aldi,Aldi,200,g,1.49,1.49,101,2026-05-26,2026-05-31,18,2,0,18,240,4.3,86.9,FALSE,FALSE
Scharrelkipbraadsticks,Aldi,Aldi,800,g,6.49,5.49,15,2026-05-26,2026-05-31,19,3,0,7,160,3.3,66.2,FALSE,FALSE
Plantaardig rulgehakt,My Veg,Aldi,125,g,1.3,1.19,8,2026-05-25,2026-05-26,16,5,3,8,180,2.2,44.9,TRUE,TRUE
Gemarineerde biefstuk 2 stuks,Aldi,Aldi,230,g,5.49,4.59,16,2026-05-29,2026-05-31,22,1,0,8,170,2.6,51.1,FALSE,FALSE
Barbecueworstjes,Aldi,Aldi,350,g,2.96,2.19,26,2026-05-29,2026-05-31,13,2,0,25,285,2.6,51.7,FALSE,FALSE
Ardenner boterhammenworst,Aldi,Aldi,150,g,1.59,1.19,25,2026-05-29,2026-05-31,14,1,0,20,240,2.5,49.7,FALSE,FALSE
Pluimfeest burger 2 stuks,De Vegetarische Slager,Dirk,180,g,3.79,1.99,47,2026-05-20,2026-05-26,19,8,4,10,200,3.4,67.8,TRUE,TRUE
Lecker burgerlijk,De Vegetarische Slager,Dirk,160,g,3.79,1.99,47,2026-05-20,2026-05-26,19,8,4,10,200,3.3,65.7,TRUE,TRUE
Grijtante burger 2 stuks,De Vegetarische Slager,Dirk,200,g,3.79,1.99,47,2026-05-20,2026-05-26,19,8,4,10,200,3.5,70,TRUE,TRUE
Varkensschnitzel naturel 2 stuks,Vleeschmeesters,Dirk,250,g,3.29,2.49,24,2026-05-20,2026-05-26,20,0,0,8,160,3.2,63.4,TRUE,FALSE
Kipreepjes,1 de Beste,Dirk,150,g,2.99,1.69,43,2026-05-20,2026-05-26,20,0,0,8,160,3.5,70.3,TRUE,FALSE
Biefstuk 2 stuks,Vleeschmeesters,Dirk,250,g,9.99,5.99,40,2026-05-20,2026-05-26,22,0,0,5,140,3.2,63.1,TRUE,FALSE
Kipkluifjes gekruid,Vleeschmeesters,Dirk,800,g,6.49,3.99,38,2026-05-20,2026-05-26,18,3,0,12,200,4.1,82.4,TRUE,FALSE
BBQ kipworst kaas jalapeno 5 stuks,Vleeschmeesters,Dirk,325,g,5.49,2.99,46,2026-05-20,2026-05-26,14,3,0,20,255,2.9,57.1,TRUE,FALSE
BBQ worst naturel 5 stuks,Vleeschmeesters,Dirk,300,g,5.99,2.99,50,2026-05-20,2026-05-26,13,2,0,25,285,2.7,54.9,TRUE,FALSE
Spareribs bbq gegaard,Vleeschmeesters,Dirk,700,g,9.49,6.99,26,2026-05-20,2026-05-26,18,8,0,22,295,2.7,54.1,TRUE,FALSE
BBQ spareribs piri piri,Vleeschmeesters,Dirk,700,g,9.49,6.99,26,2026-05-20,2026-05-26,18,6,0,22,290,2.7,54.2,TRUE,FALSE
Grillburgers 4 stuks,Dirk,Dirk,360,g,3.99,3.49,13,2026-05-20,2026-05-26,18,2,0,18,240,2.5,49.6,TRUE,FALSE
Hele dorade,Dirk,Dirk,300,g,6.49,4.99,23,2026-05-20,2026-05-26,19,1,0,4,110,2.7,54.8,TRUE,FALSE
Gerookte zalm,Hardanger Lachs,Dirk,150,g,4.99,3.99,20,2026-05-20,2026-05-26,22,0,0,14,210,2.4,47.5,TRUE,FALSE
Noorse zalm hout gerookt,Jumbo,Jumbo,100,g,4.59,4.59,102,2026-05-20,2026-05-26,22,0,0,14,210,3.2,64,TRUE,FALSE
Noorse zalm hout gerookt verlaagd in zout,Jumbo,Jumbo,100,g,4.59,4.59,102,2026-05-20,2026-05-26,22,0,0,14,210,3.2,64,TRUE,FALSE
Oosterse wokblokjes,Garden Gourmet,Jumbo,160,g,3.75,2.5,33,2026-05-20,2026-05-26,16,8,3,7,170,2.5,50.4,TRUE,TRUE
Vegetarische spinazie-kaas rondo,Garden Gourmet,Jumbo,180,g,3.99,2.5,37,2026-05-20,2026-05-26,13,10,2,12,210,2.3,45.8,TRUE,TRUE
Falafel pikant,Garden Gourmet,Jumbo,190,g,3.69,2.5,32,2026-05-20,2026-05-26,10,18,5,8,200,1.9,37.7,TRUE,TRUE
Sensational merguez,Garden Gourmet,Jumbo,180,g,4.99,2.5,50,2026-05-20,2026-05-26,17,5,3,15,235,3,59.8,TRUE,TRUE
Vegan kipschnitzel,Garden Gourmet,Jumbo,180,g,3.35,2.5,25,2026-05-20,2026-05-26,14,10,3,11,210,2.1,41.9,TRUE,TRUE
Classic balls,Garden Gourmet,Jumbo,200,g,3.75,2.5,33,2026-05-20,2026-05-26,17,7,3,11,200,2.7,54.1,TRUE,TRUE
Griekse rondo,Garden Gourmet,Jumbo,180,g,3.99,2.5,37,2026-05-20,2026-05-26,13,10,3,12,215,2.3,45.6,TRUE,TRUE
Vuna,Garden Gourmet,Jumbo,175,g,4.39,2.5,43,2026-05-20,2026-05-26,15,3,2,7,140,2.8,56.2,TRUE,TRUE
Falafel,Garden Gourmet,Jumbo,190,g,3.69,2.5,32,2026-05-20,2026-05-26,10,18,5,8,200,1.9,37.7,TRUE,TRUE
Sensational burger,Garden Gourmet,Jumbo,226,g,4.39,2.5,43,2026-05-20,2026-05-26,17,5,3,15,230,3,60.1,TRUE,TRUE
Cheesy nuggets,Garden Gourmet,Jumbo,180,g,3.59,2.5,30,2026-05-20,2026-05-26,13,15,2,11,225,2.1,41.9,TRUE,TRUE
Toscaanse carré,Garden Gourmet,Jumbo,160,g,3.99,2.5,37,2026-05-20,2026-05-26,13,12,3,11,215,2.2,44.5,TRUE,TRUE
Vegetarische gouda kaasschnitzel,Garden Gourmet,Jumbo,180,g,3.39,2.5,26,2026-05-20,2026-05-26,13,11,2,13,220,2,40,TRUE,TRUE
Lightly roasted pieces,Garden Gourmet,Jumbo,175,g,3.35,2.5,25,2026-05-20,2026-05-26,17,6,3,8,180,2.5,49.1,TRUE,TRUE
Rundvleeshamburgers 8 stuks,Lidl,Lidl,800,g,7.99,6.49,19,2026-05-25,2026-05-31,18,2,0,18,240,2.8,56.8,TRUE,FALSE
BBQ-worst spicy garlic smokey,Lidl,Lidl,420,g,3.59,2.59,28,2026-05-25,2026-05-31,13,2,0,25,285,2.7,53.1,TRUE,FALSE
Plantaardige champignonburger,Lidl,Lidl,175,g,2.69,1.99,26,2026-05-25,2026-05-31,16,9,4,8,190,2.5,50.3,TRUE,TRUE
Gerookte zalm,Lidl,Lidl,200,g,5.99,4.99,17,2026-05-25,2026-05-31,22,0,0,14,210,2.3,46.7,TRUE,FALSE
Zigeunerschnitzel,Lidl,Lidl,400,g,3.28,2.59,21,2026-05-29,2026-05-31,18,5,0,10,195,3.3,65.9,FALSE,FALSE
Runderspies,Lidl,Lidl,250,g,8.44,5.99,29,2026-05-29,2026-05-31,20,2,0,10,180,2.6,51.2,FALSE,FALSE
Rundertartaartjes,Lidl,Lidl,400,g,6.48,4.99,23,2026-05-29,2026-05-31,19,2,0,15,225,2.6,52.6,FALSE,FALSE
